unit,concept,skill,question,expected_answer,worked_steps,answer_type,tags,source_pages
Motion and Force,Concept 2: Acceleration,acceleration,A scooter speeds up from 4 m/s to 16 m/s in 3 s. What is its acceleration?,4 m/s^2,a = (vf - vi)/t = (16 - 4)/3 = 4 m/s^2.,numeric,"acceleration,speeding up","11,13,18-19"
Motion and Force,Concept 2: Acceleration,negative_acceleration,A skateboarder slows from 12 m/s to 0 m/s in 4 s. What is the acceleration?,-3 m/s^2,a = (0 - 12)/4 = -3 m/s^2. Negative shows the velocity decreased.,numeric,"acceleration,slowing down,stop","11,13,18-19"
Motion and Force,Concept 2: Acceleration,final_velocity,A cart starts at 3 m/s and accelerates at 2 m/s^2 for 5 s. What final velocity does it reach?,13 m/s,vf = vi + a*t = 3 + 2*5 = 13 m/s.,numeric,"final velocity,acceleration","11,13,18-19"
Motion and Force,Concept 2: Acceleration,from_rest,A toy car starts from rest and reaches 9 m/s in 3 s. What is its acceleration?,3 m/s^2,From rest means vi = 0. a = (9 - 0)/3 = 3 m/s^2.,numeric,"from rest,acceleration","11,13"
Motion and Force,Concept 2: Acceleration,velocity_time_graph,"On a velocity-time graph, velocity increases from 0 m/s to 30 m/s in 10 s. What is the acceleration?",3 m/s^2,Acceleration is slope on a velocity-time graph: (30 - 0)/10 = 3 m/s^2.,numeric,"graph,velocity-time,slope","12,14,18-19"
Motion and Force,Concept 2: Acceleration,velocity_time_graph,A velocity-time graph is a flat horizontal line at 6 m/s. What is the acceleration?,0 m/s^2,"Velocity is constant, so the slope is 0. Acceleration is 0 m/s^2.",conceptual_numeric,"graph,constant velocity,zero acceleration","12,14,18-19"
Motion and Force,Concept 2: Acceleration,ways_to_accelerate,List three ways an object can accelerate.,"It can speed up, slow down, or change direction.",Acceleration is any change in velocity. Velocity includes speed and direction.,conceptual,"acceleration,velocity,direction","1,11,18"
Motion and Force,Concept 3: Newton's Laws and Force,net_force_opposite,Two forces act on a box: 12 N right and 5 N left. What is the net force?,7 N right,Opposite directions subtract: 12 - 5 = 7 N. Direction is right because 12 N is larger.,numeric_with_direction,"net force,force diagram","24,37"
Motion and Force,Concept 3: Newton's Laws and Force,net_force_same_opposite,Two students push a cart to the right with 20 N each. Another student pushes left with 15 N. What is the net force?,25 N right,Add same direction first: 20 + 20 = 40 N right. Subtract the opposite force: 40 - 15 = 25 N right.,numeric_with_direction,"net force,same direction,opposite direction",24
Motion and Force,Concept 3: Newton's Laws and Force,balanced_forces,A box has 10 N pushing right and 10 N pushing left. Are the forces balanced or unbalanced? What is the net force?,Balanced; net force = 0 N.,"Equal opposite forces cancel out, so the net force is 0 N and motion does not change.",conceptual_numeric,"balanced forces,net force","20,24"
Motion and Force,Concept 3: Newton's Laws and Force,newton_1st_law,A backpack left on the floor stays there until someone picks it up. Which law does this show?,Newton's 1st Law / law of inertia.,An object at rest stays at rest unless an unbalanced force acts on it.,law_identification,"Newton 1,inertia,rest","24-25,28,31"
Motion and Force,Concept 3: Newton's Laws and Force,inertia_ranking,"Rank these from least inertia to most inertia: feather, baseball, bicycle, car.","feather, baseball, bicycle, car",Inertia depends mainly on mass. Rank from smallest mass to largest mass.,ranking,"inertia,mass","24,37"
Motion and Force,Concept 3: Newton's Laws and Force,friction_types,A book is sliding across a table and slows down. What type of friction is acting?,Sliding friction.,"The surfaces are moving/sliding past each other, so it is sliding friction.",conceptual,"friction,sliding friction","21,25"
Motion and Force,Concept 3: Newton's Laws and Force,air_resistance,A flat paper and a crumpled paper with the same mass are dropped. Which usually lands first and why?,The crumpled paper usually lands first because it has less air resistance.,Shape changes how much air pushes against the paper. Less air resistance means it falls more like other objects near Earth.,conceptual,"air resistance,falling objects","21,25"
Motion and Force,Concept 3: Newton's Laws and Force,newton_2nd_force,A 12 kg object accelerates at 4 m/s^2. What net force acts on it?,48 N,F = m*a = 12 kg * 4 m/s^2 = 48 N.,numeric,"F=ma,force","22,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,newton_2nd_acceleration,A 40 N net force acts on a 10 kg cart. What is the acceleration?,4 m/s^2,a = F/m = 40 N / 10 kg = 4 m/s^2.,numeric,"F=ma,acceleration","22,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,newton_2nd_mass,An object experiences a 90 N net force and accelerates at 3 m/s^2. What is its mass?,30 kg,m = F/a = 90 N / 3 m/s^2 = 30 kg.,numeric,"F=ma,mass","27,37"
Motion and Force,Concept 3: Newton's Laws and Force,two_step_force,A 5 kg drone speeds up from 2 m/s to 14 m/s in 4 s. What net force caused the change?,15 N,First find acceleration: a = (14 - 2)/4 = 3 m/s^2. Then F = m*a = 5*3 = 15 N.,numeric,"two-step,acceleration,F=ma","27,37"
Motion and Force,Concept 3: Newton's Laws and Force,weight,What is the weight of a 25 kg object on Earth?,245 N,W = m*g = 25 kg * 9.8 m/s^2 = 245 N.,numeric,"weight,gravity,9.8","23,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,mass_from_weight,A falling object has a weight of 196 N near Earth. What is its mass?,20 kg,m = W/g = 196 N / 9.8 m/s^2 = 20 kg.,numeric,"weight,mass,gravity","27,37"
Motion and Force,Concept 3: Newton's Laws and Force,newton_3rd_law,A swimmer pushes water backward and moves forward. Which law does this show?,Newton's 3rd Law.,The swimmer pushes water backward; the water pushes the swimmer forward with an equal and opposite force.,law_identification,"Newton 3,action reaction","23,26,28,31,36"
Motion and Force,Concept 3: Newton's Laws and Force,newton_3rd_law,"In a balloon rocket, air rushes backward out of the balloon and the balloon moves forward. Which force is the reaction force?",The balloon moving forward is the reaction to the air being pushed backward.,Action: balloon pushes air backward. Reaction: air pushes balloon forward.,conceptual,"Newton 3,balloon rocket","26,34-36"
Motion and Force,Concept 3: Newton's Laws and Force,momentum,Find the momentum of a 60 kg skateboarder moving at 5 m/s.,300 kg*m/s,p = m*v = 60 kg * 5 m/s = 300 kg*m/s.,numeric,"momentum,p=mv","23,32,37"
Motion and Force,Concept 3: Newton's Laws and Force,velocity_from_momentum,An 8 kg object has 40 kg*m/s of momentum. How fast is it moving?,5 m/s,v = p/m = 40 / 8 = 5 m/s.,numeric,"momentum,velocity","32,37"
Motion and Force,Concept 3: Newton's Laws and Force,mass_from_momentum,A ball has 18 kg*m/s of momentum and moves at 6 m/s. What is its mass?,3 kg,m = p/v = 18 / 6 = 3 kg.,numeric,"momentum,mass","32,37"
Motion and Force,Concept 3: Newton's Laws and Force,momentum_transfer,A 10 kg cart moving at 2 m/s transfers all its momentum to a 5 kg cart. What is the 5 kg cart's speed after?,4 m/s,"Initial momentum = 10*2 = 20 kg*m/s. Set 20 = 5*v, so v = 4 m/s.",numeric,"conservation of momentum,collision",31-32
Motion and Force,Concept 3: Newton's Laws and Force,law_identification,A motorcycle accelerates faster than a loaded truck when the same size force is applied. Which law best explains this?,Newton's 2nd Law.,"With the same force, the lower-mass object has greater acceleration.",law_identification,"Newton 2,mass,acceleration","28,31,34-36"
Motion and Force,Concept 3: Newton's Laws and Force,law_identification,A soccer ball rolls across grass and eventually stops. Which law and force are involved?,Newton's 1st Law with friction acting as the unbalanced force.,"The ball would keep moving, but friction from the grass changes its motion and slows it down.",law_identification,"Newton 1,friction","24-25,28,31,36"
Motion and Force,Concept 3: Newton's Laws and Force,gravity,"Ignoring air resistance, what acceleration should a dropped apple and tennis ball have near Earth?",Both accelerate at about 9.8 m/s^2 downward.,"Near Earth, falling objects have the same acceleration due to gravity if air resistance is ignored.",conceptual_numeric,"gravity,9.8,falling objects","25,31"
